Account,Target_xianjinbao
80004553,1
80024586,1
80030158,1
80038688,1
80040009,1
80040650,1
80040719,1
80040742,1
80040791,1
80040931,1
80041158,1
80041312,1
80041363,1
80041437,1
80041451,1
80041482,1
80041572,1
80042201,1
80042344,1
80042380,1
80042577,1
80042854,1
80042959,1
80043008,1
80043196,1
80043440,1
80043466,1
80043549,1
80043758,1
80043826,1
80043909,1
80043952,1
80044140,1
80044166,1
80044184,1
80044207,1
80044698,1
80044827,1
80045110,1
80045338,1
80045389,1
80045477,1
80045514,1
80045622,1
80045802,1
80046304,1
80046421,1
80046447,1
80046515,1
80046700,1
80046858,1
80047017,1
80047071,1
80047134,1
80047185,1
80047343,1
80047387,1
80047439,1
80047462,1
80047530,1
80047602,1
80047673,1
80047790,1
80048096,1
80048108,1
80048337,1
80048351,1
80048368,1
80048661,1
80048786,1
80048881,1
80048975,1
80049248,1
80049459,1
80049590,1
80049899,1
80050189,1
80050224,1
80050336,1
80050453,1
80050677,1
80050945,1
80051151,1
80051393,1
80051461,1
80051740,1
80051847,1
80051946,1
80052011,1
80052028,1
80052279,1
80052305,1
80052424,1
80052806,1
80052932,1
80052969,1
80053016,1
80053113,1
80053548,1
80053632,1
80053669,1
80054291,1
80054523,1
80054552,1
80054615,1
80054646,1
80054718,1
80054747,1
80054866,1
80054949,1
80054963,1
80055032,1
80055043,1
80055087,1
80055106,1
80055120,1
80055234,1
80055559,1
80055616,1
80055630,1
80055739,1
80055762,1
80055928,1
80056198,1
80056464,1
80056507,1
80056815,1
80057005,1
80057056,1
80057070,1
80057122,1
80057377,1
80057489,1
80057885,1
80057917,1
80058123,1
80058152,1
80058592,1
80058619,1
80058633,1
80058642,1
80058725,1
80058831,1
80058974,1
80059102,1
80059159,1
80059216,1
80059313,1
80059362,1
80059506,1
80059634,1
80059924,1
80060159,1
80060230,1
80060245,1
80060388,1
80060432,1
80060487,1
80060520,1
80060717,1
80060924,1
80061075,1
80061109,1
80061181,1
80061246,1
80061260,1
80061318,1
80061541,1
80061578,1
80061633,1
80061831,1
80061893,1
80061974,1
80062038,1
80062236,1
80062395,1
80062405,1
80062522,1
80062579,1
80062777,1
80062799,1
80063091,1
80063446,1
80063521,1
80063547,1
80063626,1
80063675,1
80063709,1
80063723,1
80063958,1
80063961,1
80064199,1
80064322,1
80064397,1
80064410,1
80064465,1
80064595,1
80064638,1
80064667,1
80064744,1
80064869,1
80064887,1
80064955,1
80065066,1
80065264,1
80065408,1
80065431,1
80065668,1
80065682,1
80065798,1
80065927,1
80065941,1
80066104,1
80066276,1
80066294,1
80066391,1
80066409,1
80066423,1
80066452,1
80066481,1
80066500,1
80066575,1
80066647,1
80066683,1
80066746,1
80066812,1
80066849,1
80066935,1
80066940,1
80066966,1
80067002,1
80067073,1
80067154,1
80067190,1
80067288,1
80067330,1
80067345,1
